"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US08121","Washington County, Colorado","4868","*****"
"0500000US08123","Weld County, Colorado","305345","*****"
"0500000US08125","Yuma County, Colorado","10003","*****"
"0500000US09001","Fairfield County, Connecticut","943926","*****"
"0500000US09003","Hartford County, Connecticut","893561","*****"
"0500000US09005","Litchfield County, Connecticut","182002","*****"
"0500000US09007","Middlesex County, Connecticut","163053","*****"
"0500000US09009","New Haven County, Connecticut","857513","*****"
"0500000US09011","New London County, Connecticut","267390","*****"
"0500000US09013","Tolland County, Connecticut","151063","*****"
"0500000US09015","Windham County, Connecticut","116566","*****"
"0500000US10001","Kent County, Delaware","176699","*****"
"0500000US10003","New Castle County, Delaware","556165","*****"
"0500000US10005","Sussex County, Delaware","224384","*****"
"0500000US11001","District of Columbia, District of Columbia","692683","*****"
"0500000US12001","Alachua County, Florida","265443","*****"
"0500000US12003","Baker County, Florida","28211","*****"
"0500000US12005","Bay County, Florida","182161","*****"
"0500000US12007","Bradford County, Florida","27317","*****"
"0500000US12009","Brevard County, Florida","585507","*****"
"0500000US12011","Broward County, Florida","1926205","*****"
"0500000US12013","Calhoun County, Florida","14362","*****"
"0500000US12015","Charlotte County, Florida","181067","*****"
"0500000US12017","Citrus County, Florida","145169","*****"
"0500000US12019","Clay County, Florida","211405","*****"
"0500000US12021","Collier County, Florida","371453","*****"
"0500000US12023","Columbia County, Florida","69968","*****"
"0500000US12027","DeSoto County, Florida","36903","*****"
"0500000US12029","Dixie County, Florida","16589","*****"
"0500000US12031","Duval County, Florida","936186","*****"
"0500000US12033","Escambia County, Florida","313491","*****"
"0500000US12035","Flagler County, Florida","109801","*****"
"0500000US12037","Franklin County, Florida","11811","*****"
"0500000US12039","Gadsden County, Florida","45945","*****"
"0500000US12041","Gilchrist County, Florida","17953","*****"
"0500000US12043","Glades County, Florida","13516","*****"
"0500000US12045","Gulf County, Florida","15576","*****"
"0500000US12047","Hamilton County, Florida","14326","*****"
"0500000US12049","Hardee County, Florida","27131","*****"
"0500000US12051","Hendry County, Florida","40732","*****"
"0500000US12053","Hernando County, Florida","186313","*****"
"0500000US12055","Highlands County, Florida","103437","*****"
"0500000US12057","Hillsborough County, Florida","1422278","*****"
"0500000US12059","Holmes County, Florida","19432","*****"
"0500000US12061","Indian River County, Florida","153989","*****"
"0500000US12063","Jackson County, Florida","47945","*****"
"0500000US12065","Jefferson County, Florida","14161","*****"
"0500000US12067","Lafayette County, Florida","8637","*****"
"0500000US12069","Lake County, Florida","345867","*****"
"0500000US12071","Lee County, Florida","737468","*****"
"0500000US12073","Leon County, Florida","289770","*****"
"0500000US12075","Levy County, Florida","40403","*****"
"0500000US12077","Liberty County, Florida","8345","*****"
"0500000US12079","Madison County, Florida","18460","*****"
"0500000US12081","Manatee County, Florida","384213","*****"
"0500000US12083","Marion County, Florida","353526","*****"
"0500000US12085","Martin County, Florida","159065","*****"
"0500000US12086","Miami-Dade County, Florida","2699428","*****"
"0500000US12087","Monroe County, Florida","75798","*****"
"0500000US12089","Nassau County, Florida","83098","*****"
"0500000US12091","Okaloosa County, Florida","203794","*****"
"0500000US12093","Okeechobee County, Florida","41144","*****"
"0500000US12095","Orange County, Florida","1349746","*****"
"0500000US12097","Osceola County, Florida","351955","*****"
"0500000US12099","Palm Beach County, Florida","1465027","*****"
"0500000US12101","Pasco County, Florida","524602","*****"
"0500000US12103","Pinellas County, Florida","964666","*****"
"0500000US12105","Polk County, Florida","686218","*****"
"0500000US12107","Putnam County, Florida","73252","*****"
"0500000US12109","St. Johns County, Florida","244674","*****"
"0500000US12111","St. Lucie County, Florida","312947","*****"
"0500000US12113","Santa Rosa County, Florida","174755","*****"
"0500000US12115","Sarasota County, Florida","419496","*****"
"0500000US12117","Seminole County, Florida","461402","*****"
"0500000US12119","Sumter County, Florida","125044","*****"
